id,type,text1,text2,text3,notes
fs_terran_verylightbeam,WEAPON,"Used on the Fenris cruiser, the much-maligned lighter cousin of the Forge Eagle tactical beam is limited by the power grid of the ship that mounts it. Incapable of prolonged individual bursts, it relies on its relatively short recharge time to compensate for its low damage output. The Forge Dove is an unhappy compromise, arguably inferior to the fusion mortar system it is mounted alongside.",Assault,,
fs_terran_lightbeam,WEAPON,"The lightest tactical beam in the Terran arsenal, the Subach-Innes Cruiser Engagement System was built small and accurate, but at the cost of rate of fire. Its capacitors' long rise time, coupled with plasma core flow issues, hobble it with a 45-second charge cycle. Its compact mountings allow multiple beams to be fitted even on cruisers.",Assault,,
fs_terran_mediumbeam,WEAPON,"The RNI Tactical Beam System, codenamed 'Forge Eagle', is a mid-range tactical plasma beam with an efficiency-boosting twist. It uses a sweeping magnetic bottle to guide a relativistic plasma stream through contained arcs. Although it offers limited hull penetration, it is capable of firing even without accurate targeting solutions. Current GTVA combat doctrine calls for these weapons to be used to disarm or disable enemy vessels quickly. Forge Eagles are used as the main weapons of the flexible Deimos corvette and as a battery weapon on larger warships.",Assault,,
fs_terran_heavybeam,WEAPON,"The Subach-Innes Warship Engagement System, codenamed 'Crypt Hammer', was the primary GTVA destroyer beam during the Second Shivan Incursion. Reliable, accurate, easy to maintain, and highly robust, the Crypt Hammer remains a favorite of Terran warship crews. It provides the main tactical power of Orion and Hecate combatants. It has one of the lowest failure rates of any GTVA weapons system, but it produces copious heat and its mountings are bulky.",Assault,,
fs_vasudan_lightbeam,WEAPON,"Mekhu Enterprises and the Akheton Corporation collaborated to design Vasudan beam systems, making grim but effective use of hours of scans gathered while the Lucifer bombarded Vasuda Prime. The 121b Beam System are used as a supplementary weapon on Vasudan destroyers, where it has earned high praise - it outperforms even Shivan beam weapons.",Assault,,
fs_vasudan_mediumbeam,WEAPON,"Mekhu Enterprises science teams focused on maximizing beam effect rather than power, using an arcing magnetic bottle to cut a path across the target. Due to Vasudan expertise in power grid design, the 183 outperforms its Terran equivalent by a small margin.",Assault,,
fs_vasudan_heavybeam,WEAPON,"The Mekhu/Akheton 255a destroyer-mounted heavy beam uses a coaxial sensor suite to analyze debris spall from the target and uses that data to fine-tune beam radius and velocity for maximum effect. This striking piece of technology, later implemented in next-generation beam weapons, was developed by the Akheton Corporation based on systems used in the SDG. Sophisticated but power-hungry, the 255a outperforms its Terran equivalent by a small margin.",Assault,,
fs_shivan_beam,WEAPON,"Alliance beam cannons were reverse-engineered from scans of the Lucifer. Shivan beam weapons systems continue to outperform them, offering comparable or superior firepower with reduced power drain and heat output. This beam cannon is a cruiser-grade weapons system used for direct-fire engagement of hostile targets. It is a serious but not overwhelming threat to Allied warships. Pilots who see a charging beam should break to avoid its path.",Assault,,
fs_shivan_heavybeam,WEAPON,"The hellishly powerful Shivan destroyer-grade beam system annihilates layers of collapsed molybdenum armor with contemptuous ease. Firing a jet of tightly contained plasma at relativistic velocities, this beam system overmatches any warship in the GTVA arsenal. The heavy beam cannon is integral to Shivan shock-jump tactics, and provides a near-insurmountable advantage in line engagements. It is capable of near-continuous fire, and yet, frighteningly, its power requirements are so low that it can be mounted on modified cruisers.",Assault,,
,,,,,
fs_terran_aaabeam,WEAPON,"A light beam cannon with a fast-rise capacitor system, SPAR optical targeting, and an 1800-meter magnetic bottle, the Phalanx Point Defense Beam System can rapidly and accurately engage incoming fighters and warheads with quick pulses. In warship engagements, it can be fired as a direct beam to supplement main batteries. This weapons system is critical to warship close defense doctrine.",Anti-Fighter,,
